🚀 [Orquestador NASA] Iniciando para: Bitácora de Ensayos | Sitio: ensayos | Scope: all
   📁 DIST_PATH: /var/www/dist
   ⏱️ [inicio] procesados=0 lotes=0 uso=40.41 MB memoria=42.5 MB pico=42.5 MB tiempo=0.19s
   ⏱️ [posts] procesados=94000 lotes=94/300 uso=104.38 MB memoria=110.5 MB pico=110.5 MB tiempo=320.78s
   ⏱️ [posts] procesados=95000 lotes=95/300 uso=104.91 MB memoria=110.5 MB pico=110.5 MB tiempo=324.2s
   ⏱️ [posts] procesados=96000 lotes=96/300 uso=105.47 MB memoria=110.5 MB pico=110.5 MB tiempo=327.5s
   ⏱️ [posts] procesados=97000 lotes=97/300 uso=108.43 MB memoria=112.5 MB pico=112.5 MB tiempo=330.89s
   ⏱️ [posts] procesados=98000 lotes=98/300 uso=106.65 MB memoria=112.5 MB pico=112.5 MB tiempo=334.29s
   ⏱️ [posts] procesados=99000 lotes=99/300 uso=107.61 MB memoria=112.5 MB pico=112.5 MB tiempo=337.66s
   ⏱️ [posts] procesados=100000 lotes=100/300 uso=109.84 MB memoria=114.5 MB pico=114.5 MB tiempo=341.02s
   ⏱️ [posts] procesados=101000 lotes=101/300 uso=110.53 MB memoria=114.5 MB pico=114.5 MB tiempo=344.35s
   ⏱️ [posts] procesados=102000 lotes=102/300 uso=110.99 MB memoria=114.5 MB pico=114.5 MB tiempo=347.85s
   ⏱️ [posts] procesados=103000 lotes=103/300 uso=109.63 MB memoria=114.5 MB pico=114.5 MB tiempo=351.39s
   ⏱️ [posts] procesados=104000 lotes=104/300 uso=109.96 MB memoria=116.5 MB pico=116.5 MB tiempo=354.79s
   ⏱️ [posts] procesados=105000 lotes=105/300 uso=112.64 MB memoria=116.5 MB pico=116.5 MB tiempo=358.42s
   ⏱️ [posts] procesados=106000 lotes=106/300 uso=113.28 MB memoria=116.5 MB pico=116.5 MB tiempo=361.84s
   ⏱️ [posts] procesados=107000 lotes=107/300 uso=113.65 MB memoria=118.5 MB pico=118.5 MB tiempo=365.39s
   ⏱️ [posts] procesados=108000 lotes=108/300 uso=113.93 MB memoria=118.5 MB pico=118.5 MB tiempo=368.8s
   ⏱️ [posts] procesados=109000 lotes=109/300 uso=114.82 MB memoria=118.5 MB pico=118.5 MB tiempo=372.2s
   ⏱️ [posts] procesados=110000 lotes=110/300 uso=115.15 MB memoria=118.5 MB pico=118.5 MB tiempo=375.57s
   ⏱️ [posts] procesados=111000 lotes=111/300 uso=115.83 MB memoria=120.5 MB pico=120.5 MB tiempo=379s
   ⏱️ [posts] procesados=112000 lotes=112/300 uso=114.3 MB memoria=120.5 MB pico=120.5 MB tiempo=382.6s
   ⏱️ [posts] procesados=113000 lotes=113/300 uso=114.79 MB memoria=120.5 MB pico=120.5 MB tiempo=386.21s
   ⏱️ [posts] procesados=114000 lotes=114/300 uso=117.84 MB memoria=122.5 MB pico=122.5 MB tiempo=390.03s
   ⏱️ [posts] procesados=115000 lotes=115/300 uso=117.89 MB memoria=122.5 MB pico=122.5 MB tiempo=393.53s
   ⏱️ [posts] procesados=116000 lotes=116/300 uso=118.77 MB memoria=122.5 MB pico=122.5 MB tiempo=397.05s
   ⏱️ [posts] procesados=117000 lotes=117/300 uso=118.85 MB memoria=122.5 MB pico=122.5 MB tiempo=400.64s
   ⏱️ [posts] procesados=118000 lotes=118/300 uso=119.94 MB memoria=124.5 MB pico=124.5 MB tiempo=404.18s
   ⏱️ [posts] procesados=119000 lotes=119/300 uso=120.14 MB memoria=124.5 MB pico=124.5 MB tiempo=407.56s
   ⏱️ [posts] procesados=120000 lotes=120/300 uso=118.8 MB memoria=124.5 MB pico=124.5 MB tiempo=410.89s
   ⏱️ [posts] procesados=121000 lotes=121/300 uso=119.62 MB memoria=126.5 MB pico=126.5 MB tiempo=414.19s
   ⏱️ [posts] procesados=122000 lotes=122/300 uso=122.13 MB memoria=126.5 MB pico=126.5 MB tiempo=417.56s
   ⏱️ [posts] procesados=123000 lotes=123/300 uso=120.61 MB memoria=126.5 MB pico=126.5 MB tiempo=420.83s
   ⏱️ [posts] procesados=124000 lotes=124/300 uso=122.98 MB memoria=126.5 MB pico=126.5 MB tiempo=424.18s
   ⏱️ [posts] procesados=125000 lotes=125/300 uso=123.81 MB memoria=128.5 MB pico=128.5 MB tiempo=427.84s
   ⏱️ [posts] procesados=126000 lotes=126/300 uso=124.16 MB memoria=128.5 MB pico=128.5 MB tiempo=431.25s
   ⏱️ [posts] procesados=127000 lotes=127/300 uso=122.49 MB memoria=128.5 MB pico=128.5 MB tiempo=434.58s
   ⏱️ [posts] procesados=128000 lotes=128/300 uso=125.14 MB memoria=130.5 MB pico=130.5 MB tiempo=437.94s
   ⏱️ [posts] procesados=129000 lotes=129/300 uso=123.64 MB memoria=130.5 MB pico=130.5 MB tiempo=441.36s
   ⏱️ [posts] procesados=130000 lotes=130/300 uso=124.19 MB memoria=130.5 MB pico=130.5 MB tiempo=444.76s
   ⏱️ [posts] procesados=131000 lotes=131/300 uso=127.02 MB memoria=130.5 MB pico=130.5 MB tiempo=448.15s
   ⏱️ [posts] procesados=132000 lotes=132/300 uso=127.67 MB memoria=132.5 MB pico=132.5 MB tiempo=451.56s
   ⏱️ [posts] procesados=133000 lotes=133/300 uso=128.19 MB memoria=132.5 MB pico=132.5 MB tiempo=456.2s
   ⏱️ [posts] procesados=134000 lotes=134/300 uso=126.42 MB memoria=132.5 MB pico=132.5 MB tiempo=459.72s
